time_sec	pepi_cmH20
76.45716	12.11663628
76.46116	12.09583378
76.46516	12.01262093
76.46916	12.17904663
76.47316	12.28306293
76.47716	12.17904663
76.48116	12.26225948
76.48516	12.40788174
76.48916	12.36627579
76.49316	12.40788174
76.49716	12.53270149
76.50116	12.42868519
76.50516	12.51189804
76.50916	12.51189804
76.51316	12.57430744
76.51716	12.51189804
76.52116	12.61591434
76.52516	12.74073315
76.52916	12.53270149
76.53316	12.6367178
76.53716	12.82394695
76.54116	12.61591434
76.54516	12.67832375
76.54916	12.7615366
76.55316	12.71993065
76.55716	12.6367178
76.56116	12.8655529
76.56516	12.8031435
76.56916	12.71993065
76.57316	12.8031435
76.57716	12.8031435
76.58116	12.7615366
76.58516	12.78234005
76.58916	12.8031435
76.59316	12.71993065
76.59716	12.8655529
76.60116	12.82394695
76.60516	12.67832375
76.60916	12.84474945
76.61316	12.88635635
76.61716	12.78234005
76.62116	12.71993065
76.62516	12.78234005
76.62916	12.7615366
76.63316	12.6991272
76.63716	12.8031435
76.64116	12.7615366
76.64516	12.71993065
76.64916	12.88635635
76.65316	12.84474945
76.65716	12.74073315
76.66116	12.8655529
76.66516	12.78234005
76.66916	12.82394695
76.67316	12.8655529
76.67716	12.94876575
76.68116	12.84474945
76.68516	12.78234005
76.68916	12.99037266
76.69316	12.8031435
76.69716	12.84474945
76.70116	12.94876575
76.70516	12.84474945
76.70916	12.71993065
76.71316	12.96956921
76.71716	12.8655529
76.72116	12.82394695
76.72516	12.96956921
76.72916	12.96956921
76.73316	12.88635635
76.73716	12.9279623
76.74116	12.99037266
76.74516	12.8031435
76.74916	12.96956921
76.75316	13.03197861
76.75716	12.90715981
76.76116	12.8655529
76.76516	12.94876575
76.76916	12.9279623
76.77316	12.88635635
76.77716	12.94876575
76.78116	12.9279623
76.78516	12.9279623
76.78916	12.94876575
76.79316	13.03197861
76.79716	12.84474945
76.80116	13.01117516
76.80516	12.9279623
76.80916	12.9279623
76.81316	12.9279623
76.81716	13.01117516
76.82116	12.88635635
76.82516	12.84474945
76.82916	12.96956921
76.83316	12.88635635
76.83716	12.8655529
76.84116	12.99037266
76.84516	12.99037266
76.84916	12.84474945
76.85316	13.01117516
76.85716	12.90715981
76.86116	12.82394695
76.86516	12.90715981
76.86916	12.99037266
76.87316	12.78234005
76.87716	12.82394695
76.88116	12.90715981
76.88516	12.88635635
76.88916	12.71993065
76.89316	12.94876575
76.89716	12.88635635
76.90116	12.74073315
76.90516	12.96956921
76.90916	12.8655529
76.91316	12.82394695
76.91716	12.9279623
76.92116	12.94876575
76.92516	12.78234005
76.92916	12.82394695
76.93316	12.94876575
76.93716	12.84474945
76.94116	12.78234005
76.94516	12.9279623
76.94916	12.84474945
76.95316	12.6991272
76.95716	12.88635635
76.96116	12.8031435
76.96516	12.8031435
76.96916	12.88635635
76.97316	12.8655529
76.97716	12.7615366
76.98116	12.84474945
76.98516	12.8655529
76.98916	12.6991272
76.99316	12.8655529
76.99716	12.88635635
77.00116	12.84474945
77.00516	12.74073315
77.00916	12.88635635
77.01316	12.8031435
77.01716	12.82394695
77.02116	12.84474945
77.02516	12.88635635
77.02916	12.78234005
77.03316	12.8655529
77.03716	12.9279623
77.04116	12.78234005
77.04516	12.84474945
77.04916	12.88635635
77.05316	12.8655529
77.05716	12.8655529
77.06116	12.8655529
77.06516	12.82394695
77.06916	12.74073315
77.07316	12.82394695
77.07716	12.7615366
77.08116	12.59511089
77.08516	12.8031435
77.08916	12.78234005
77.09316	12.65752029
77.09716	12.84474945
77.10116	12.71993065
77.10516	12.6991272
77.10916	12.6991272
77.11316	12.7615366
77.11716	12.59511089
77.12116	12.67832375
77.12516	12.7615366
77.12916	12.74073315
77.13316	12.6991272
77.13716	12.82394695
77.14116	12.67832375
77.14516	12.55350494
77.14916	12.8031435
77.15316	12.7615366
77.15716	12.65752029
77.16116	12.71993065
77.16516	12.7615366
77.16916	12.59511089
77.17316	12.67832375
77.17716	12.74073315
77.18116	12.53270149
77.18516	12.6991272
77.18916	12.6991272
77.19316	12.55350494
77.19716	12.57430744
77.20116	12.71993065
77.20516	12.55350494
77.20916	12.57430744
77.21316	12.67832375
77.21716	12.59511089
77.22116	12.59511089
77.22516	12.55350494
77.22916	12.61591434
77.23316	12.49109459
77.23716	12.55350494
77.24116	12.61591434
77.24516	12.49109459
